Timestamp,Are you familiar with the Music Information Retrieval field of research?,When did you first hear about the AcousticBrainz project?,Have you used the AcousticBrainz client to extract and submit data from your music collection?,How many datasets have you created?,What interface have you used to create dataset(s)?,How many datasets have you submitted for evaluation?,Ease of use [Dataset editor],Ease of use [CSV importer],Ease of use [Dataset viewer],Ease of use [Evaluation submission interface],Ease of use [Evaluation results viewer],How would you improve the dataset creation process?,How would you improve the evaluation interface?,"Have you submitted your dataset(s) for the ""Classifying vocals"" challenge?",How well did you understand the challenge process?,"If you didn't understand everything, which parts were unclear?",Ease of use [Submission of datasets for a challenge],Ease of use [Challenge details page],What improvements related to challenges would you make?,Do you understand the difference between high-level and low-level data?,Do you know what the following concepts mean? [Vocals],Do you know what the following concepts mean? [Gender],Do you know what the following concepts mean? [Danceability],Do you know what the following concepts mean? [Tonality],Do you know what the following concepts mean? [Timbre],Do you know what the following concepts mean? [Rhythm],Do you know what the following concepts mean? [Genre],Do you know what the following concepts mean? [Mood],Have you tried to submit feedback on high-level data for recordings?,Ease of use [Submission of feedback],What improvements related to the feedback interface would you make?,,Anything else you want to say that wasn't covered in this survey
8/18/2016 17:32:20,No,2014,Yes,1,Web-based editor,1,Easy,I didn't use this feature,Very easy,Difficult,Very difficult,,"I'm not completely sure how to read the evaluation job results table. The ""Predicted"" and ""Actual"" cells should be part of the inner <table>.",Yes,2,Dataset structure requirements,Easy,Neither easy nor difficult,"On the details page it should probably have a small thing explaining how the percentage is calculated. I don't know what ""Snapshot ID"" is or if it's important. It should also explain why the jobs aren't clickable links.",Yes,Yes,Yes,Not sure,No,No,Not sure,Yes,Not sure,Yes,Very easy,"I think it should define the high-level terms, and/or tell people to not vote on things if they're not sure what they mean.",,
8/17/2016 20:41:49,No,2014,No,0,I didn't create any datasets,0,I didn't use this feature,I didn't use this feature,I didn't use this feature,I didn't use this feature,I didn't use this feature,,,No,0,Dataset structure requirements,Neither easy nor difficult,Neither easy nor difficult,,Yes,Yes,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes,Yes,Very easy,"be able to change or edit your submission (ie missclick, user mistake/accidentally confusing two different recordings, etc)",,
8/18/2016 12:19:02,No,2016,Yes,0,I didn't create any datasets,0,Very difficult,Very difficult,Very difficult,Very difficult,Very difficult,Explain the whole process and why it is usefull at all,,No,0,"Dataset structure requirements, Submission process, Results calculation",Very difficult,Very difficult,,No,No,Yes,No,No,No,No,No,No,No,Neither easy nor difficult,,,"The whole project goal isn't clear. It seems to be a very academic, not real world use case. The actual results are far away from understandble or reproducable"
8/18/2016 13:31:03,No,2016,No,1,Web-based editor,0,Difficult,I didn't use this feature,Easy,Very difficult,I didn't use this feature,"AB-138 at least, I don’t remember otherwise",https://community.metabrainz.org/t/test-dataset-submission-problem/105463/10?u=jesus2099 I don’t really know what’s blocking actually.,Yes,1,"Dataset structure requirements, Submission process, Results calculation",Very difficult,I didn't use this feature,"the challenge list does not show, you have to type a random letter to be able to select one",Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Very easy,"When we are back to the same page, it does not show what we clicked last time. So I cannot know what is already done so I cannot go on sending feedback.",,
8/18/2016 13:38:40,No,2014,Yes,0,I didn't create any datasets,0,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,,,No,2,,Neither easy nor difficult,Neither easy nor difficult,,No,Yes,Yes,Not sure,No,No,Yes,Yes,No,No,Neither easy nor difficult,,,
8/18/2016 14:25:30,Yes,2014,Yes,1,Web-based editor,1,Easy,Easy,Easy,Easy,Easy,,,Yes,4,,Easy,Easy,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Easy,,,
8/18/2016 15:12:23,No,2014,Yes,0,I didn't create any datasets,0,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,,,No,2,,Neither easy nor difficult,Neither easy nor difficult,,No,Yes,Yes,Yes,No,Not sure,Yes,Yes,Yes,No,Neither easy nor difficult,,,
8/18/2016 15:22:43,No,2014,Yes,2,Web-based editor,2,Easy,I didn't use this feature,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,"Web interface: Allow to copy in multiple MBIDs at once. Allow to use musicbrainz.org URLs for input. Allow to input entire releases (""I know all Recordings on this Release have vocals""). Tell up front whether an added Recording MBID has not been submitted (yet) to AB.",Allow evaluating datasets that have MBIDs not currently/yet in AB (just don't include those in the calculations). I never got to play much with this due to this limitation.,Yes,3,Results calculation,Easy,Neither easy nor difficult,"Maybe allow for everybody to create challenges (if this is currently possible, I guess I just missed it!).",Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,No,Very easy,"Remember a feedback submission; right now I get ""This result is… Correct/Incorrect"" on a page reload. I think it's fine to allow re-doing a submission (in case of misclicks), but right now it's not very transparent what's going on if you submit a piece of feedback multiple times - or if you submit a difference piece of feedback.

It's also not at all transparent what the feedback is going to be used for. Is it being collected to generate training datasets? Is it being compared across multiple MBID data submissions?

Also, it's hard to give feedback on ""Genres"" when the genre reported is, say, ""dan"" or ""jaz"" or some other obscure abbreviation. Also, some of those models just don't have genres that fit all pieces of music/audio/acoustic content, and it's hard to give a correct/incorrect measure without knowing what the options actually are (e.g., ""jaz"" might be the most appropriate genre in Tzanetakis(sic) model, even if you wouldn't describe it as jazz normally) - it might make sense to provide a list of options for non-binary choices (""'jaz' is incorrect; it should be 'ele'"").",,"Bugs in essentia are also blocking AB data submission, e.g., https://github.com/MTG/essentia/issues/192"
8/18/2016 19:52:02,No,2014,Yes,2,Web-based editor,1,Neither easy nor difficult,I didn't use this feature,Very easy,Easy,Easy,"I haven't looked very far, but I don't even know what the CSV importer is.",It might be useful if you could just paste an URL to a MusicBrainz recording instead of manually extracting the MBID yourself.,Yes,3,,Easy,Easy,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,I didn't use this feature,,,
8/18/2016 20:41:53,No,2014,Yes,0,I didn't create any datasets,0,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,"I wanted to use the datasets, but as a User without experience in the music analysing research it was unclear to me whether I can use that feature and if I can be any help improving acoustid this way. Some blog article or other documentation on how users like me can help would be great.",,No,2,Submission process,Neither easy nor difficult,Neither easy nor difficult,"I did not now about the challenges , but they look like something everybody can help. Make it more prominent.",Yes,Yes,Yes,Not sure,Not sure,No,Yes,Yes,Yes,No,Neither easy nor difficult,,,
